city_id,week_start,index_score_sum,weighted_score_sum,games
arlington-tx,2022-08-16,1,1,7
arlington-tx,2022-08-23,-1,-1,5
arlington-tx,2022-08-30,-7,-7,7
arlington-tx,2022-09-06,0,0,6
arlington-tx,2022-09-13,-1,-1,5
arlington-tx,2022-09-20,-2,-2,6
arlington-tx,2022-09-27,-5,-5,7
arlington-tx,2022-10-04,0,0,2
arlington-tx,2023-03-28,2,2,4
arlington-tx,2023-04-04,0,0,6
arlington-tx,2023-04-11,2,2,6
arlington-tx,2023-04-18,2,2,6
arlington-tx,2023-04-25,0,0,6
arlington-tx,2023-05-02,2,2,6
arlington-tx,2023-05-09,1,1,7
arlington-tx,2023-05-16,2,2,6
arlington-tx,2023-05-23,4,4,6
arlington-tx,2023-05-30,4,4,6
arlington-tx,2023-06-06,-2,-2,6
arlington-tx,2023-06-13,1,1,7
arlington-tx,2023-06-20,-2,-2,6
arlington-tx,2023-06-27,-1,-1,7
arlington-tx,2023-07-04,-2,-2,6
arlington-tx,2023-07-11,4,4,4
arlington-tx,2023-07-18,0,0,6
arlington-tx,2023-07-25,-3,-3,5
arlington-tx,2023-08-01,7,7,7
arlington-tx,2023-08-08,2,2,6
arlington-tx,2023-08-15,-4,-4,6
arlington-tx,2023-08-22,-2,-2,6
arlington-tx,2023-08-29,-2,-2,6
arlington-tx,2023-09-05,0,0,6
arlington-tx,2023-09-12,-1,-1,7
arlington-tx,2023-09-19,6,6,6
arlington-tx,2023-09-26,-2,-2,6
arlington-tx,2024-03-26,2,2,4
arlington-tx,2024-04-02,0,0,6
arlington-tx,2024-04-09,-1,-1,7
arlington-tx,2024-04-16,0,0,6
arlington-tx,2024-04-23,0,0,6
arlington-tx,2024-04-30,3,3,7
arlington-tx,2024-05-07,-4,-4,6
arlington-tx,2024-05-14,-1,-1,5
arlington-tx,2024-05-21,-4,-4,6
arlington-tx,2024-05-28,2,2,6
arlington-tx,2024-06-04,-1,-1,5
arlington-tx,2024-06-11,-3,-3,7
arlington-tx,2024-06-18,2,2,6
arlington-tx,2024-06-25,-4,-4,6
arlington-tx,2024-07-02,3,3,7
arlington-tx,2024-07-09,1,1,5
arlington-tx,2024-07-16,0,0,4
arlington-tx,2024-07-23,1,1,7
arlington-tx,2024-07-30,-2,-2,6
arlington-tx,2024-08-06,-5,-5,5
arlington-tx,2024-08-13,-1,-1,7
arlington-tx,2024-08-20,-1,-1,5
arlington-tx,2024-08-27,3,3,7
arlington-tx,2024-09-03,4,4,6
arlington-tx,2024-09-10,-4,-4,6
arlington-tx,2024-09-17,0,0,6
arlington-tx,2024-09-24,2,2,6
atlanta,2010-10-26,0,0,6
atlanta,2010-11-02,0,0,10
atlanta,2010-11-09,0,0,6
atlanta,2010-11-16,0,0,6
atlanta,2010-11-23,0,0,8
atlanta,2010-11-30,0,0,8
atlanta,2010-12-07,0,0,6
atlanta,2010-12-14,0,0,10
atlanta,2010-12-21,0,0,6
atlanta,2010-12-28,0,0,6
atlanta,2011-01-04,0,0,6
atlanta,2011-01-11,0,0,6
atlanta,2011-01-18,0,0,6
atlanta,2011-01-25,0,0,6
atlanta,2011-02-01,0,0,6
atlanta,2011-02-08,0,0,6
atlanta,2011-02-15,0,0,2
atlanta,2011-02-22,0,0,10
atlanta,2011-03-01,0,0,6
atlanta,2011-03-08,0,0,6
atlanta,2011-03-15,0,0,8
atlanta,2011-03-22,0,0,8
atlanta,2011-03-29,0,0,6
atlanta,2011-04-05,0,0,8
atlanta,2011-04-12,0,0,2
atlanta,2011-12-27,0,0,10
atlanta,2012-01-03,0,0,10
atlanta,2012-01-10,0,0,8
atlanta,2012-01-17,0,0,8
atlanta,2012-01-24,0,0,6
atlanta,2012-01-31,0,0,8
atlanta,2012-02-07,0,0,6
atlanta,2012-02-14,0,0,8
atlanta,2012-02-21,0,0,4
atlanta,2012-02-28,0,0,6
atlanta,2012-03-06,0,0,8
atlanta,2012-03-13,0,0,10
atlanta,2012-03-20,0,0,8
atlanta,2012-03-27,0,0,8
atlanta,2012-04-03,0,0,6
atlanta,2012-04-10,0,0,8
atlanta,2012-04-17,0,0,6
atlanta,2012-04-24,0,0,4
atlanta,2012-10-30,0,0,4
atlanta,2012-11-06,0,0,8
atlanta,2012-11-13,0,0,6
atlanta,2012-11-20,0,0,6
atlanta,2012-11-27,0,0,4
atlanta,2012-12-04,0,0,8
atlanta,2012-12-11,0,0,6
atlanta,2012-12-18,0,0,8
atlanta,2012-12-25,0,0,8
atlanta,2013-01-01,0,0,6
atlanta,2013-01-08,0,0,10
atlanta,2013-01-15,0,0,8
atlanta,2013-01-22,0,0,6
atlanta,2013-01-29,0,0,4
atlanta,2013-02-05,0,0,8
atlanta,2013-02-12,0,0,2
atlanta,2013-02-19,0,0,8
atlanta,2013-02-26,0,0,8
atlanta,2013-03-05,0,0,6
atlanta,2013-03-12,0,0,10
atlanta,2013-03-19,0,0,8
atlanta,2013-03-26,0,0,8
atlanta,2013-04-02,0,0,6
atlanta,2013-04-09,0,0,4
atlanta,2013-04-16,0,0,4
atlanta,2013-10-29,0,0,6
atlanta,2013-11-05,0,0,8
atlanta,2013-11-12,0,0,6
atlanta,2013-11-19,0,0,8
atlanta,2013-11-26,0,0,10
atlanta,2013-12-03,0,0,4
atlanta,2013-12-10,0,0,8
atlanta,2013-12-17,0,0,6
atlanta,2013-12-24,0,0,6
atlanta,2013-12-31,0,0,8
atlanta,2014-01-07,0,0,6
atlanta,2014-01-14,0,0,4
atlanta,2014-01-21,0,0,8
atlanta,2014-01-28,0,0,4
atlanta,2014-02-04,0,0,6
atlanta,2014-02-11,0,0,4
atlanta,2014-02-18,0,0,8
